song,rank,artist,last_week,peak_position,weeks_on_chart,saturday
I Had Some Help,1,Post Malone Featuring Morgan Wallen,1,1,2,2024-06-01
Not Like Us,2,Kendrick Lamar,2,1,3,2024-06-01
Million Dollar Baby,3,Tommy Richman,3,2,4,2024-06-01
A Bar Song (Tipsy),4,Shaboozey,4,3,6,2024-06-01
Lunch,5,Billie Eilish,-,5,1,2024-06-01
Espresso,6,Sabrina Carpenter,9,4,6,2024-06-01
Lose Control,7,Teddy Swims,6,1,41,2024-06-01
Beautiful Things,8,Benson Boone,5,2,18,2024-06-01
Too Sweet,9,Hozier,10,1,9,2024-06-01
Fortnight,10,Taylor Swift Featuring Post Malone,8,1,5,2024-06-01
Like That,11,"Future, Metro Boomin & Kendrick Lamar",7,1,9,2024-06-01
Chihiro,12,Billie Eilish,-,12,1,2024-06-01
Birds Of A Feather,13,Billie Eilish,-,13,1,2024-06-01
Saturn,14,SZA,12,6,13,2024-06-01
We Can't Be Friends (Wait For Your Love),15,Ariana Grande,13,1,11,2024-06-01
Euphoria,16,Kendrick Lamar,11,3,4,2024-06-01
Wildflower,17,Billie Eilish,-,17,1,2024-06-01
Skinny,18,Billie Eilish,-,18,1,2024-06-01
I Remember Everything,19,Zach Bryan Featuring Kacey Musgraves,18,1,39,2024-06-01
Stick Season,20,Noah Kahan,15,9,34,2024-06-01
Lovin On Me,21,Jack Harlow,17,1,28,2024-06-01
L'amour De Ma Vie,22,Billie Eilish,-,22,1,2024-06-01
Ain't No Love In Oklahoma,23,Luke Combs,-,23,1,2024-06-01
The Greatest,24,Billie Eilish,-,24,1,2024-06-01
Blue,25,Billie Eilish,-,25,1,2024-06-01
I Can Do It With A Broken Heart,26,Taylor Swift,14,3,5,2024-06-01
Cowgirls,27,Morgan Wallen Featuring ERNEST,31,27,23,2024-06-01
Feather,28,Sabrina Carpenter,22,21,25,2024-06-01
Miles On It,29,Marshmello & Kane Brown,24,24,3,2024-06-01
Down Bad,30,Taylor Swift,16,2,5,2024-06-01
The Diner,31,Billie Eilish,-,31,1,2024-06-01
Get It Sexyy,32,Sexyy Red,25,20,10,2024-06-01
Yeah Glo!,33,GloRilla,28,28,15,2024-06-01
Austin,34,Dasha,29,28,11,2024-06-01
Where It Ends,35,Bailey Zimmerman,37,32,21,2024-06-01
Bittersuite,36,Billie Eilish,-,36,1,2024-06-01
One Of Wun,37,Gunna,26,26,2,2024-06-01
Greedy,38,Tate McRae,32,3,36,2024-06-01
I Like The Way You Kiss Me,39,Artemas,27,12,9,2024-06-01
Type Shit,40,"Future, Metro Boomin, Travis Scott & Playboi Carti",33,2,9,2024-06-01
End Of Beginning,41,Djo,40,11,14,2024-06-01
Agora Hills,42,Doja Cat,35,7,35,2024-06-01
"Good Luck, Babe!",43,Chappell Roan,44,43,7,2024-06-01
Bulletproof,44,Nate Smith,57,44,7,2024-06-01
Who's Afraid Of Little Old Me?,45,Taylor Swift,21,9,5,2024-06-01
Gata Only,46,FloyyMenor X Cris Mj,43,27,10,2024-06-01
Sweet Dreams,47,Koe Wetzel,-,47,1,2024-06-01
Family Matters,48,Drake,19,7,3,2024-06-01
Whatever She Wants,49,Bryson Tiller,46,19,14,2024-06-01
Wanna Be,50,GloRilla & Megan Thee Stallion,47,11,7,2024-06-01
Slow It Down,51,Benson Boone,50,40,9,2024-06-01
Texas Hold 'Em,52,Beyonce,49,1,15,2024-06-01
Redrum,53,21 Savage,51,5,19,2024-06-01
But Daddy I Love Him,54,Taylor Swift,30,7,5,2024-06-01
Guilty As Sin?,55,Taylor Swift,38,10,5,2024-06-01
Wild Ones,56,Jessie Murph & Jelly Roll,56,35,33,2024-06-01
"So Long, London",57,Taylor Swift,34,5,5,2024-06-01
My Boy Only Breaks His Favorite Toys,58,Taylor Swift,36,6,5,2024-06-01
Carnival,59,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,52,1,15,2024-06-01
Halfway To Hell,60,Jelly Roll,68,60,7,2024-06-01
Made For Me,61,Muni Long,64,20,19,2024-06-01
FE!N,62,Travis Scott Featuring Playboi Carti,59,5,29,2024-06-01
Act II: Date @ 8,63,4Batz Featuring Drake,53,7,20,2024-06-01
Florida!!!,64,Taylor Swift Featuring Florence + The Machine,41,8,5,2024-06-01
The Smallest Man Who Ever Lived,65,Taylor Swift,42,14,5,2024-06-01
The Tortured Poets Department,66,Taylor Swift,45,4,5,2024-06-01
Meet The Grahams,67,Kendrick Lamar,23,12,3,2024-06-01
Obsessed,68,Olivia Rodrigo,65,14,9,2024-06-01
Think I'm In Love With You,69,Chris Stapleton,100,69,3,2024-06-01
Dirt Cheap,70,Cody Johnson,89,70,5,2024-06-01
On One Tonight,71,Gunna,54,54,2,2024-06-01
Si No Quieres No,72,Luis R Conriquez x Neton Vega,87,72,3,2024-06-01
Scared To Start,73,Michael Marcagi,73,54,14,2024-06-01
Push Ups,74,Drake,48,17,5,2024-06-01
Get In With Me,75,BossMan DLow,69,49,16,2024-06-01
Enough (Miami),76,Cardi B,79,9,10,2024-06-01
Back Then Right Now,77,Tyler Hubbard,71,62,10,2024-06-01
Illusion,78,Dua Lipa,70,43,6,2024-06-01
Stargazing,79,Myles Smith,77,77,2,2024-06-01
We Ride,80,Bryan Martin,88,80,7,2024-06-01
loml,81,Taylor Swift,55,12,5,2024-06-01
The Alchemy,82,Taylor Swift,58,13,5,2024-06-01
So High School,83,Taylor Swift,61,24,5,2024-06-01
Fresh Out The Slammer,84,Taylor Swift,63,11,5,2024-06-01
Prada Dem,85,Gunna Featuring Offset,60,54,3,2024-06-01
Hell N Back,86,Bakar Featuring Summer Walker,82,53,7,2024-06-01
Tucson Too Late,87,Jordan Davis,81,71,12,2024-06-01
Spin You Around (1/24),88,Morgan Wallen,92,24,17,2024-06-01
Bandit,89,Don Toliver,86,38,15,2024-06-01
Belong Together,90,Mark Ambor,84,84,4,2024-06-01
Boa,91,Megan Thee Stallion,39,39,2,2024-06-01
Take Her Home,92,Kenny Chesney,-,92,2,2024-06-01
Wind Up Missin' You,93,Tucker Wetmore,85,75,8,2024-06-01
imgonnagetyouback,94,Taylor Swift,72,26,5,2024-06-01
Tell Ur Girlfriend,95,Lay Bankz,91,58,6,2024-06-01
Outskirts,96,Sam Hunt,95,66,11,2024-06-01
Wine Into Whiskey,97,Tucker Wetmore,97,77,9,2024-06-01
Heat Stick,98,Shoreline Mafia Presents OhGeesy & Fenix Flexin,-,98,1,2024-06-01
Wondering Why,99,The Red Clay Strays,-,71,10,2024-06-01
I Can Fix Him (No Really I Can),100,Taylor Swift,74,20,5,2024-06-01
I Had Some Help,1,Post Malone Featuring Morgan Wallen,1,1,3,2024-06-08
Not Like Us,2,Kendrick Lamar,2,1,4,2024-06-08
Million Dollar Baby,3,Tommy Richman,3,2,5,2024-06-08
A Bar Song (Tipsy),4,Shaboozey,4,3,7,2024-06-08
Espresso,5,Sabrina Carpenter,6,4,7,2024-06-08
Pink Skies,6,Zach Bryan,-,6,1,2024-06-08
Lose Control,7,Teddy Swims,7,1,42,2024-06-08
Too Sweet,8,Hozier,9,1,10,2024-06-08
Beautiful Things,9,Benson Boone,8,2,19,2024-06-08
Lunch,10,Billie Eilish,5,5,2,2024-06-08
Fortnight,11,Taylor Swift Featuring Post Malone,10,1,6,2024-06-08
Birds Of A Feather,12,Billie Eilish,13,12,2,2024-06-08
Like That,13,"Future, Metro Boomin & Kendrick Lamar",11,1,10,2024-06-08
Saturn,14,SZA,14,6,14,2024-06-08
We Can't Be Friends (Wait For Your Love),15,Ariana Grande,15,1,12,2024-06-08
Chihiro,16,Billie Eilish,12,12,2,2024-06-08
Stick Season,17,Noah Kahan,20,9,35,2024-06-08
I Remember Everything,18,Zach Bryan Featuring Kacey Musgraves,19,1,40,2024-06-08
Lovin On Me,19,Jack Harlow,21,1,29,2024-06-08
Cowgirls,20,Morgan Wallen Featuring ERNEST,27,20,24,2024-06-08
Miles On It,21,Marshmello & Kane Brown,29,21,4,2024-06-08
BAND4BAND,22,Central Cee & Lil Baby,-,22,1,2024-06-08
Euphoria,23,Kendrick Lamar,16,3,5,2024-06-08
Get It Sexyy,24,Sexyy Red,32,20,11,2024-06-08
Austin,25,Dasha,34,25,12,2024-06-08
Feather,26,Sabrina Carpenter,28,21,26,2024-06-08
Wildflower,27,Billie Eilish,17,17,2,2024-06-08
Yeah Glo!,28,GloRilla,33,28,16,2024-06-08
Ain't No Love In Oklahoma,29,Luke Combs,23,23,2,2024-06-08
I Can Do It With A Broken Heart,30,Taylor Swift,26,3,6,2024-06-08
"Good Luck, Babe!",31,Chappell Roan,43,31,8,2024-06-08
Gata Only,32,FloyyMenor X Cris Mj,46,27,11,2024-06-08
Where It Ends,33,Bailey Zimmerman,35,32,22,2024-06-08
L'amour De Ma Vie,34,Billie Eilish,22,22,2,2024-06-08
Greedy,35,Tate McRae,38,3,37,2024-06-08
I Like The Way You Kiss Me,36,Artemas,39,12,10,2024-06-08
End Of Beginning,37,Djo,41,11,15,2024-06-08
Type Shit,38,"Future, Metro Boomin, Travis Scott & Playboi Carti",40,2,10,2024-06-08
Wanna Be,39,GloRilla & Megan Thee Stallion,50,11,8,2024-06-08
Bulletproof,40,Nate Smith,44,40,8,2024-06-08
Down Bad,41,Taylor Swift,30,2,6,2024-06-08
Agora Hills,42,Doja Cat,42,7,36,2024-06-08
Slow It Down,43,Benson Boone,51,40,10,2024-06-08
U My Everything,44,Sexyy Red & Drake,-,44,1,2024-06-08
One Of Wun,45,Gunna,37,26,3,2024-06-08
Whatever She Wants,46,Bryson Tiller,49,19,15,2024-06-08
Blue,47,Billie Eilish,25,25,2,2024-06-08
Texas Hold 'Em,48,Beyonce,52,1,16,2024-06-08
Think I'm In Love With You,49,Chris Stapleton,69,49,4,2024-06-08
The Greatest,50,Billie Eilish,24,24,2,2024-06-08
Stargazing,51,Myles Smith,79,51,3,2024-06-08
Sweet Dreams,52,Koe Wetzel,47,47,2,2024-06-08
Skinny,53,Billie Eilish,18,18,2,2024-06-08
Wild Ones,54,Jessie Murph & Jelly Roll,56,35,34,2024-06-08
Made For Me,55,Muni Long,61,20,20,2024-06-08
Redrum,56,21 Savage,53,5,20,2024-06-08
Halfway To Hell,57,Jelly Roll,60,57,8,2024-06-08
Who's Afraid Of Little Old Me?,58,Taylor Swift,45,9,6,2024-06-08
Family Matters,59,Drake,48,7,4,2024-06-08
FE!N,60,Travis Scott Featuring Playboi Carti,62,5,30,2024-06-08
Dirt Cheap,61,Cody Johnson,70,61,6,2024-06-08
The Diner,62,Billie Eilish,31,31,2,2024-06-08
Si No Quieres No,63,Luis R Conriquez x Neton Vega,72,63,4,2024-06-08
Guilty As Sin?,64,Taylor Swift,55,10,6,2024-06-08
But Daddy I Love Him,65,Taylor Swift,54,7,6,2024-06-08
Obsessed,66,Olivia Rodrigo,68,14,10,2024-06-08
Carnival,67,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,59,1,16,2024-06-08
"So Long, London",68,Taylor Swift,57,5,6,2024-06-08
We Ride,69,Bryan Martin,80,69,8,2024-06-08
Scared To Start,70,Michael Marcagi,73,54,15,2024-06-08
My Boy Only Breaks His Favorite Toys,71,Taylor Swift,58,6,6,2024-06-08
Si No Es Contigo,72,Cris Mj,-,72,1,2024-06-08
Bittersuite,73,Billie Eilish,36,36,2,2024-06-08
Enough (Miami),74,Cardi B,76,9,11,2024-06-08
Illusion,75,Dua Lipa,78,43,7,2024-06-08
Get In With Me,76,BossMan DLow,75,49,17,2024-06-08
Florida!!!,77,Taylor Swift Featuring Florence + The Machine,64,8,6,2024-06-08
Wind Up Missin' You,78,Tucker Wetmore,93,75,9,2024-06-08
The Smallest Man Who Ever Lived,79,Taylor Swift,65,14,6,2024-06-08
The Tortured Poets Department,80,Taylor Swift,66,4,6,2024-06-08
Hell N Back,81,Bakar Featuring Summer Walker,86,53,8,2024-06-08
Belong Together,82,Mark Ambor,90,82,5,2024-06-08
The Craving,83,Twenty One Pilots,-,83,1,2024-06-08
After Hours,84,Kehlani,-,84,1,2024-06-08
Take Her Home,85,Kenny Chesney,92,85,3,2024-06-08
Back Then Right Now,86,Tyler Hubbard,77,62,11,2024-06-08
Wondering Why,87,The Red Clay Strays,99,71,11,2024-06-08
Tucson Too Late,88,Jordan Davis,87,71,13,2024-06-08
Bandit,89,Don Toliver,89,38,16,2024-06-08
Wine Into Whiskey,90,Tucker Wetmore,97,77,10,2024-06-08
Push Ups,91,Drake,74,17,6,2024-06-08
loml,92,Taylor Swift,81,12,6,2024-06-08
Meet The Grahams,93,Kendrick Lamar,67,12,4,2024-06-08
Outskirts,94,Sam Hunt,96,66,12,2024-06-08
Your Place,95,Ashley Cooke,-,95,1,2024-06-08
Attitude,96,Don Toliver Featuring Charlie Wilson & Cash Cobain,-,96,1,2024-06-08
Heat Stick,97,Shoreline Mafia Presents OhGeesy & Fenix Flexin,98,97,2,2024-06-08
The Alchemy,98,Taylor Swift,82,13,6,2024-06-08
On One Tonight,99,Gunna,71,54,3,2024-06-08
Tu Name,100,Fuerza Regida,-,66,13,2024-06-08
